Company Id :,AAF,Security,Type :  N,Sub Type,:  0000,,,,,
Short Name :,ASIA ASSET,,,,,,,,,
Day,Date High,High,Date Low,Low,Closing,Trades(No.),Shares(No.),Turnover(Rs.),Last Traded,Days Tr
2013-01-02 00:00:00,2013-01-02 00:00:00,3.2,2013-01-02 00:00:00,2.9,3,467,4165602,12628887.4,2013-01-02 00:00:00,1
2013-01-03 00:00:00,2013-01-03 00:00:00,3.2,2013-01-03 00:00:00,2.9,3,194,2510471,7567663.1,2013-01-03 00:00:00,1
2013-01-04 00:00:00,2013-01-04 00:00:00,3.1,2013-01-04 00:00:00,2.9,3,66,245201,735505.4,2013-01-04 00:00:00,1
2013-01-07 00:00:00,2013-01-07 00:00:00,3,2013-01-07 00:00:00,2.9,2.9,50,352628,1027472.1,2013-01-07 00:00:00,1
2013-01-08 00:00:00,2013-01-08 00:00:00,3,2013-01-08 00:00:00,2.8,2.9,78,66156,191161.2,2013-01-08 00:00:00,1
2013-01-09 00:00:00,2013-01-09 00:00:00,2.9,2013-01-09 00:00:00,2.8,2.8,31,78353,222853.7,2013-01-09 00:00:00,1
2013-01-10 00:00:00,2013-01-10 00:00:00,2.9,2013-01-10 00:00:00,2.8,2.8,35,165321,463899.8,2013-01-10 00:00:00,1
2013-01-11 00:00:00,2013-01-11 00:00:00,2.9,2013-01-11 00:00:00,2.7,2.8,44,66620,186528,2013-01-11 00:00:00,1
2013-01-15 00:00:00,2013-01-15 00:00:00,2.9,2013-01-15 00:00:00,2.7,2.8,32,134194,374511.2,2013-01-15 00:00:00,1
2013-01-16 00:00:00,2013-01-16 00:00:00,3,2013-01-16 00:00:00,2.7,2.9,104,467657,1354582.8,2013-01-16 00:00:00,1
2013-01-17 00:00:00,2013-01-17 00:00:00,3,2013-01-17 00:00:00,2.8,2.9,21,37793,107899.9,2013-01-17 00:00:00,1
2013-01-18 00:00:00,2013-01-18 00:00:00,2.9,2013-01-18 00:00:00,2.8,2.8,32,125499,363220.3,2013-01-18 00:00:00,1
2013-01-21 00:00:00,2013-01-21 00:00:00,2.9,2013-01-21 00:00:00,2.8,2.9,34,23756,66752.4,2013-01-21 00:00:00,1
2013-01-22 00:00:00,2013-01-22 00:00:00,2.9,2013-01-22 00:00:00,2.8,2.8,19,15951,44672.8,2013-01-22 00:00:00,1
2013-01-23 00:00:00,2013-01-23 00:00:00,2.9,2013-01-23 00:00:00,2.8,2.8,38,38653,108493.6,2013-01-23 00:00:00,1
2013-01-24 00:00:00,2013-01-24 00:00:00,2.9,2013-01-24 00:00:00,2.7,2.9,30,48752,138729.2,2013-01-24 00:00:00,1
2013-01-28 00:00:00,2013-01-28 00:00:00,2.8,2013-01-28 00:00:00,2.7,2.7,13,22050,59610,2013-01-28 00:00:00,1
2013-01-29 00:00:00,2013-01-29 00:00:00,2.7,2013-01-29 00:00:00,2.6,2.7,26,82664,222769.6,2013-01-29 00:00:00,1
2013-01-30 00:00:00,2013-01-30 00:00:00,2.8,2013-01-30 00:00:00,2.7,2.7,11,10649,28754.2,2013-01-30 00:00:00,1
2013-01-31 00:00:00,2013-01-31 00:00:00,2.7,2013-01-31 00:00:00,2.6,2.6,5,51010,137627,2013-01-31 00:00:00,1
2013-02-01 00:00:00,2013-02-01 00:00:00,2.8,2013-02-01 00:00:00,2.6,2.7,32,216049,576054.6,2013-02-01 00:00:00,1
2013-02-05 00:00:00,2013-02-05 00:00:00,2.7,2013-02-05 00:00:00,2.6,2.7,27,181996,478189.6,2013-02-05 00:00:00,1
2013-02-06 00:00:00,2013-02-06 00:00:00,2.7,2013-02-06 00:00:00,2.6,2.6,16,28820,74942,2013-02-06 00:00:00,1
2013-02-07 00:00:00,2013-02-07 00:00:00,2.7,2013-02-07 00:00:00,2.6,2.6,12,55950,145485,2013-02-07 00:00:00,1
2013-02-08 00:00:00,2013-02-08 00:00:00,2.8,2013-02-08 00:00:00,2.7,2.7,58,4211822,11372219.4,2013-02-08 00:00:00,1
2013-02-11 00:00:00,2013-02-11 00:00:00,2.8,2013-02-11 00:00:00,2.6,2.6,42,183278,477394.7,2013-02-11 00:00:00,1
2013-02-12 00:00:00,2013-02-12 00:00:00,2.7,2013-02-12 00:00:00,2.6,2.6,22,18667,48750.9,2013-02-12 00:00:00,1
2013-02-13 00:00:00,2013-02-13 00:00:00,2.7,2013-02-13 00:00:00,2.6,2.7,17,2075,5502.5,2013-02-13 00:00:00,1
2013-02-14 00:00:00,2013-02-14 00:00:00,2.7,2013-02-14 00:00:00,2.6,2.6,18,1830,4791,2013-02-14 00:00:00,1
2013-02-15 00:00:00,2013-02-15 00:00:00,2.6,2013-02-15 00:00:00,2.5,2.5,45,560105,1401802.5,2013-02-15 00:00:00,1
2013-02-18 00:00:00,2013-02-18 00:00:00,2.5,2013-02-18 00:00:00,2.4,2.4,11,48100,118470,2013-02-18 00:00:00,1
2013-02-19 00:00:00,2013-02-19 00:00:00,2.5,2013-02-19 00:00:00,2.4,2.4,65,482929,1159134.2,2013-02-19 00:00:00,1
2013-02-20 00:00:00,2013-02-20 00:00:00,2.5,2013-02-20 00:00:00,2.3,2.5,24,449830,1124342.5,2013-02-20 00:00:00,1
2013-02-21 00:00:00,2013-02-21 00:00:00,2.5,2013-02-21 00:00:00,2.4,2.5,6,3101,7502.5,2013-02-21 00:00:00,1
2013-02-22 00:00:00,2013-02-22 00:00:00,2.5,2013-02-22 00:00:00,2.4,2.4,54,111352,268468.8,2013-02-22 00:00:00,1
2013-02-26 00:00:00,2013-02-26 00:00:00,2.5,2013-02-26 00:00:00,2.3,2.3,24,43999,104698.3,2013-02-26 00:00:00,1
2013-02-27 00:00:00,2013-02-27 00:00:00,2.4,2013-02-27 00:00:00,2.3,2.4,4,1798,4142.4,2013-02-27 00:00:00,1
2013-02-28 00:00:00,2013-02-28 00:00:00,2.4,2013-02-28 00:00:00,2.2,2.3,53,910475,2094435.5,2013-02-28 00:00:00,1
2013-03-01 00:00:00,2013-03-01 00:00:00,2.4,2013-03-01 00:00:00,2.4,2.4,7,1749,4197.6,2013-03-01 00:00:00,1
2013-03-04 00:00:00,2013-03-04 00:00:00,2.3,2013-03-04 00:00:00,2.2,2.2,22,104899,240354.8,2013-03-04 00:00:00,1
2013-03-05 00:00:00,2013-03-05 00:00:00,2.4,2013-03-05 00:00:00,2.3,2.3,17,96311,221516.4,2013-03-05 00:00:00,1
2013-03-06 00:00:00,2013-03-06 00:00:00,2.4,2013-03-06 00:00:00,2.3,2.4,14,45811,105466.4,2013-03-06 00:00:00,1
2013-03-07 00:00:00,2013-03-07 00:00:00,2.5,2013-03-07 00:00:00,2.3,2.5,70,4536677,11311993.9,2013-03-07 00:00:00,1
2013-03-08 00:00:00,2013-03-08 00:00:00,2.5,2013-03-08 00:00:00,2.5,2.5,17,27245,68112.5,2013-03-08 00:00:00,1
2013-03-11 00:00:00,2013-03-11 00:00:00,2.5,2013-03-11 00:00:00,2.4,2.4,11,32868,78885,2013-03-11 00:00:00,1
2013-03-12 00:00:00,2013-03-12 00:00:00,2.5,2013-03-12 00:00:00,2.4,2.5,6,3106,7613.5,2013-03-12 00:00:00,1
2013-03-13 00:00:00,2013-03-13 00:00:00,2.5,2013-03-13 00:00:00,2.4,2.4,9,4312,10360,2013-03-13 00:00:00,1
2013-03-14 00:00:00,2013-03-14 00:00:00,2.5,2013-03-14 00:00:00,2.3,2.3,29,138461,319295.4,2013-03-14 00:00:00,1
2013-03-15 00:00:00,2013-03-15 00:00:00,2.4,2013-03-15 00:00:00,2.3,2.3,4,8501,19562.3,2013-03-15 00:00:00,1
2013-03-18 00:00:00,2013-03-18 00:00:00,2.5,2013-03-18 00:00:00,2.4,2.4,10,89299,214317.7,2013-03-18 00:00:00,1
2013-03-19 00:00:00,2013-03-19 00:00:00,2.4,2013-03-19 00:00:00,2.3,2.4,16,34101,80040.4,2013-03-19 00:00:00,1
2013-03-20 00:00:00,2013-03-20 00:00:00,2.4,2013-03-20 00:00:00,2.3,2.3,2,150,355,2013-03-20 00:00:00,1
2013-03-21 00:00:00,2013-03-21 00:00:00,2.4,2013-03-21 00:00:00,2.3,2.3,53,315596,725891.9,2013-03-21 00:00:00,1
2013-03-22 00:00:00,2013-03-22 00:00:00,2.4,2013-03-22 00:00:00,2.3,2.3,15,72251,166682.3,2013-03-22 00:00:00,1
2013-03-25 00:00:00,2013-03-25 00:00:00,2.4,2013-03-25 00:00:00,2.2,2.3,15,37980,87254.1,2013-03-25 00:00:00,1
2013-03-27 00:00:00,2013-03-27 00:00:00,2.3,2013-03-27 00:00:00,2.2,2.2,11,25501,56352.2,2013-03-27 00:00:00,1
2013-03-28 00:00:00,2013-03-28 00:00:00,2.4,2013-03-28 00:00:00,2.2,2.2,23,213706,490449.8,2013-03-28 00:00:00,1
2013-04-01 00:00:00,2013-04-01 00:00:00,2.3,2013-04-01 00:00:00,2.3,2.3,3,570,1311,2013-04-01 00:00:00,1
2013-04-02 00:00:00,2013-04-02 00:00:00,2.3,2013-04-02 00:00:00,2.2,2.2,21,142900,314490.1,2013-04-02 00:00:00,1
2013-04-03 00:00:00,2013-04-03 00:00:00,2.3,2013-04-03 00:00:00,2.2,2.2,13,14402,31714.6,2013-04-03 00:00:00,1
2013-04-04 00:00:00,2013-04-04 00:00:00,2.3,2013-04-04 00:00:00,2.2,2.2,27,67998,149660.6,2013-04-04 00:00:00,1
2013-04-05 00:00:00,2013-04-05 00:00:00,2.4,2013-04-05 00:00:00,2.3,2.3,26,31911,73415.3,2013-04-05 00:00:00,1
2013-04-08 00:00:00,2013-04-08 00:00:00,2.5,2013-04-08 00:00:00,2.3,2.4,44,281327,670184.9,2013-04-08 00:00:00,1
2013-04-09 00:00:00,2013-04-09 00:00:00,2.4,2013-04-09 00:00:00,2.3,2.3,14,25821,59389.3,2013-04-09 00:00:00,1
2013-04-10 00:00:00,2013-04-10 00:00:00,2.4,2013-04-10 00:00:00,2.3,2.3,5,5802,13594.8,2013-04-10 00:00:00,1
2013-04-11 00:00:00,2013-04-11 00:00:00,2.4,2013-04-11 00:00:00,2.3,2.4,27,98471,236330.2,2013-04-11 00:00:00,1
2013-04-12 00:00:00,2013-04-12 00:00:00,2.5,2013-04-12 00:00:00,2.3,2.4,18,174215,418016.2,2013-04-12 00:00:00,1
2013-04-16 00:00:00,2013-04-16 00:00:00,2.5,2013-04-16 00:00:00,2.4,2.4,31,292881,702922.5,2013-04-16 00:00:00,1
2013-04-17 00:00:00,2013-04-17 00:00:00,2.5,2013-04-17 00:00:00,2.4,2.5,12,45910,111685,2013-04-17 00:00:00,1
2013-04-18 00:00:00,2013-04-18 00:00:00,2.6,2013-04-18 00:00:00,2.4,2.4,93,763051,1901638.6,2013-04-18 00:00:00,1
2013-04-19 00:00:00,2013-04-19 00:00:00,2.6,2013-04-19 00:00:00,2.4,2.4,127,646958,1611109.6,2013-04-19 00:00:00,1
2013-04-22 00:00:00,2013-04-22 00:00:00,2.5,2013-04-22 00:00:00,2.4,2.5,47,195218,486041,2013-04-22 00:00:00,1
2013-04-23 00:00:00,2013-04-23 00:00:00,2.5,2013-04-23 00:00:00,2.4,2.5,50,55995,135507.5,2013-04-23 00:00:00,1
2013-04-24 00:00:00,2013-04-24 00:00:00,2.5,2013-04-24 00:00:00,2.4,2.4,25,69272,167475,2013-04-24 00:00:00,1
2013-04-26 00:00:00,2013-04-26 00:00:00,2.7,2013-04-26 00:00:00,2.4,2.5,155,1352874,3449869,2013-04-26 00:00:00,1
2013-04-29 00:00:00,2013-04-29 00:00:00,2.6,2013-04-29 00:00:00,2.5,2.5,43,181392,461552.8,2013-04-29 00:00:00,1
2013-04-30 00:00:00,2013-04-30 00:00:00,2.5,2013-04-30 00:00:00,2.4,2.5,39,99595,247712.5,2013-04-30 00:00:00,1
2013-05-02 00:00:00,2013-05-02 00:00:00,2.5,2013-05-02 00:00:00,2.4,2.4,25,105716,255779.5,2013-05-02 00:00:00,1
2013-05-03 00:00:00,2013-05-03 00:00:00,2.5,2013-05-03 00:00:00,2.4,2.5,39,222158,553321.5,2013-05-03 00:00:00,1
2013-05-06 00:00:00,2013-05-06 00:00:00,2.6,2013-05-06 00:00:00,2.4,2.5,78,311764,778273.6,2013-05-06 00:00:00,1
2013-05-07 00:00:00,2013-05-07 00:00:00,2.6,2013-05-07 00:00:00,2.5,2.5,45,130261,326253.6,2013-05-07 00:00:00,1
2013-05-08 00:00:00,2013-05-08 00:00:00,2.6,2013-05-08 00:00:00,2.5,2.5,26,205079,512897.9,2013-05-08 00:00:00,1
2013-05-09 00:00:00,2013-05-09 00:00:00,2.7,2013-05-09 00:00:00,2.5,2.6,97,830408,2153523.7,2013-05-09 00:00:00,1
2013-05-10 00:00:00,2013-05-10 00:00:00,2.7,2013-05-10 00:00:00,2.5,2.6,56,410607,1075279.5,2013-05-10 00:00:00,1
2013-05-13 00:00:00,2013-05-13 00:00:00,2.7,2013-05-13 00:00:00,2.5,2.6,21,262300,681980,2013-05-13 00:00:00,1
2013-05-14 00:00:00,2013-05-14 00:00:00,2.6,2013-05-14 00:00:00,2.5,2.5,6,25535,63857.6,2013-05-14 00:00:00,1
2013-05-15 00:00:00,2013-05-15 00:00:00,2.6,2013-05-15 00:00:00,2.5,2.5,8,6202,15625.2,2013-05-15 00:00:00,1
2013-05-16 00:00:00,2013-05-16 00:00:00,2.6,2013-05-16 00:00:00,2.5,2.5,25,92020,230131,2013-05-16 00:00:00,1
2013-05-17 00:00:00,2013-05-17 00:00:00,2.6,2013-05-17 00:00:00,2.5,2.6,40,238110,597192.3,2013-05-17 00:00:00,1
2013-05-20 00:00:00,2013-05-20 00:00:00,2.6,2013-05-20 00:00:00,2.5,2.6,75,343310,873285.1,2013-05-20 00:00:00,1
2013-05-21 00:00:00,2013-05-21 00:00:00,2.6,2013-05-21 00:00:00,2.5,2.5,20,65410,163546,2013-05-21 00:00:00,1
2013-05-22 00:00:00,2013-05-22 00:00:00,2.6,2013-05-22 00:00:00,2.4,2.4,24,171922,425795.1,2013-05-22 00:00:00,1
2013-05-23 00:00:00,2013-05-23 00:00:00,2.5,2013-05-23 00:00:00,2.4,2.5,9,35101,85742.4,2013-05-23 00:00:00,1
2013-05-27 00:00:00,2013-05-27 00:00:00,2.5,2013-05-27 00:00:00,2.4,2.5,10,43800,109220,2013-05-27 00:00:00,1
2013-05-28 00:00:00,2013-05-28 00:00:00,2.4,2013-05-28 00:00:00,2.4,2.4,15,120300,288720,2013-05-28 00:00:00,1
2013-05-29 00:00:00,2013-05-29 00:00:00,2.5,2013-05-29 00:00:00,2.4,2.5,31,92775,227987.5,2013-05-29 00:00:00,1
2013-05-30 00:00:00,2013-05-30 00:00:00,2.5,2013-05-30 00:00:00,2.4,2.4,27,55623,133705.5,2013-05-30 00:00:00,1
2013-05-31 00:00:00,2013-05-31 00:00:00,2.4,2013-05-31 00:00:00,2.4,2.4,11,63308,151939.2,2013-05-31 00:00:00,1
2013-06-03 00:00:00,2013-06-03 00:00:00,2.5,2013-06-03 00:00:00,2.4,2.4,10,37809,90751.6,2013-06-03 00:00:00,1
2013-06-04 00:00:00,2013-06-04 00:00:00,2.4,2013-06-04 00:00:00,2.3,2.4,16,44976,106742.4,2013-06-04 00:00:00,1
2013-06-05 00:00:00,2013-06-05 00:00:00,2.5,2013-06-05 00:00:00,2.3,2.3,61,296701,689972.5,2013-06-05 00:00:00,1
2013-06-06 00:00:00,2013-06-06 00:00:00,2.4,2013-06-06 00:00:00,2.3,2.3,38,401279,923019.6,2013-06-06 00:00:00,1
2013-06-07 00:00:00,2013-06-07 00:00:00,2.4,2013-06-07 00:00:00,2.3,2.3,22,37176,85515.2,2013-06-07 00:00:00,1
2013-06-10 00:00:00,2013-06-10 00:00:00,2.4,2013-06-10 00:00:00,2.3,2.3,30,59400,136620.1,2013-06-10 00:00:00,1
2013-06-11 00:00:00,2013-06-11 00:00:00,2.4,2013-06-11 00:00:00,2.3,2.3,16,28514,65582.3,2013-06-11 00:00:00,1
2013-06-12 00:00:00,2013-06-12 00:00:00,2.3,2013-06-12 00:00:00,2.2,2.2,9,46900,104200,2013-06-12 00:00:00,1
2013-06-13 00:00:00,2013-06-13 00:00:00,2.3,2013-06-13 00:00:00,2.2,2.2,9,63201,139852.3,2013-06-13 00:00:00,1
2013-06-14 00:00:00,2013-06-14 00:00:00,2.4,2013-06-14 00:00:00,2.3,2.3,11,22811,52466.4,2013-06-14 00:00:00,1
2013-06-17 00:00:00,2013-06-17 00:00:00,2.4,2013-06-17 00:00:00,2.2,2.2,36,258150,569610,2013-06-17 00:00:00,1
2013-06-18 00:00:00,2013-06-18 00:00:00,2.4,2013-06-18 00:00:00,2.1,2.2,30,171665,377610,2013-06-18 00:00:00,1
2013-06-19 00:00:00,2013-06-19 00:00:00,2.3,2013-06-19 00:00:00,2.2,2.2,30,204621,454696.4,2013-06-19 00:00:00,1
2013-06-20 00:00:00,2013-06-20 00:00:00,2.3,2013-06-20 00:00:00,2.2,2.3,27,45507,100116.1,2013-06-20 00:00:00,1
2013-06-21 00:00:00,2013-06-21 00:00:00,2.3,2013-06-21 00:00:00,2.1,2.2,77,389559,860350.4,2013-06-21 00:00:00,1
2013-06-24 00:00:00,2013-06-24 00:00:00,2.2,2013-06-24 00:00:00,2.1,2.2,16,4428,9639.3,2013-06-24 00:00:00,1
2013-06-25 00:00:00,2013-06-25 00:00:00,2.2,2013-06-25 00:00:00,2.1,2.1,20,104559,219629.8,2013-06-25 00:00:00,1
2013-06-26 00:00:00,2013-06-26 00:00:00,2.2,2013-06-26 00:00:00,2.1,2.1,50,448381,942013.2,2013-06-26 00:00:00,1
2013-06-27 00:00:00,2013-06-27 00:00:00,2.3,2013-06-27 00:00:00,2.2,2.3,50,215569,476251.8,2013-06-27 00:00:00,1
2013-06-28 00:00:00,2013-06-28 00:00:00,2.3,2013-06-28 00:00:00,2.2,2.3,7,2161,4955.3,2013-06-28 00:00:00,1
2013-07-01 00:00:00,2013-07-01 00:00:00,2.3,2013-07-01 00:00:00,2.1,2.2,14,12105,26621.2,2013-07-01 00:00:00,1
2013-07-02 00:00:00,2013-07-02 00:00:00,2.3,2013-07-02 00:00:00,2.1,2.1,18,43280,95159.2,2013-07-02 00:00:00,1
2013-07-03 00:00:00,2013-07-03 00:00:00,2.3,2013-07-03 00:00:00,2.1,2.2,21,68947,144801,2013-07-03 00:00:00,1
2013-07-04 00:00:00,2013-07-04 00:00:00,2.2,2013-07-04 00:00:00,2.1,2.2,28,101906,214053.2,2013-07-04 00:00:00,1
2013-07-05 00:00:00,2013-07-05 00:00:00,2.2,2013-07-05 00:00:00,2.1,2.1,8,20701,43472.2,2013-07-05 00:00:00,1
2013-07-08 00:00:00,2013-07-08 00:00:00,2,2013-07-08 00:00:00,2,2,28,138243,276486,2013-07-08 00:00:00,1
2013-07-09 00:00:00,2013-07-09 00:00:00,2.1,2013-07-09 00:00:00,1.9,2,30,402301,794632.1,2013-07-09 00:00:00,1
2013-07-10 00:00:00,2013-07-10 00:00:00,2.2,2013-07-10 00:00:00,2,2,28,73881,152791.5,2013-07-10 00:00:00,1
2013-07-11 00:00:00,2013-07-11 00:00:00,2.2,2013-07-11 00:00:00,2.1,2.1,12,13520,28442,2013-07-11 00:00:00,1
2013-07-12 00:00:00,2013-07-12 00:00:00,2.2,2013-07-12 00:00:00,2.1,2.1,23,129050,271165,2013-07-12 00:00:00,1
2013-07-15 00:00:00,2013-07-15 00:00:00,2.2,2013-07-15 00:00:00,2,2.1,14,110901,232392.2,2013-07-15 00:00:00,1
2013-07-16 00:00:00,2013-07-16 00:00:00,2.1,2013-07-16 00:00:00,2,2,13,14602,29214.2,2013-07-16 00:00:00,1
2013-07-17 00:00:00,2013-07-17 00:00:00,2.1,2013-07-17 00:00:00,2,2,23,74507,149014.7,2013-07-17 00:00:00,1
2013-07-18 00:00:00,2013-07-18 00:00:00,2.1,2013-07-18 00:00:00,1.9,2,33,166475,332980,2013-07-18 00:00:00,1
2013-07-19 00:00:00,2013-07-19 00:00:00,2.1,2013-07-19 00:00:00,1.9,2.1,47,176632,363783.4,2013-07-19 00:00:00,1
2013-07-23 00:00:00,2013-07-23 00:00:00,2.1,2013-07-23 00:00:00,2,2,25,84105,168245,2013-07-23 00:00:00,1
2013-07-24 00:00:00,2013-07-24 00:00:00,2.1,2013-07-24 00:00:00,2,2,9,3800,7700,2013-07-24 00:00:00,1
2013-07-25 00:00:00,2013-07-25 00:00:00,2.1,2013-07-25 00:00:00,1.9,2,64,290477,562664.2,2013-07-25 00:00:00,1
2013-07-26 00:00:00,2013-07-26 00:00:00,2.1,2013-07-26 00:00:00,1.9,2,17,108748,221495.9,2013-07-26 00:00:00,1
2013-07-29 00:00:00,2013-07-29 00:00:00,2,2013-07-29 00:00:00,1.9,2,25,65802,131591.8,2013-07-29 00:00:00,1
2013-07-30 00:00:00,2013-07-30 00:00:00,2,2013-07-30 00:00:00,1.9,1.9,21,122662,240348.1,2013-07-30 00:00:00,1
2013-07-31 00:00:00,2013-07-31 00:00:00,2,2013-07-31 00:00:00,1.9,1.9,12,30784,59278,2013-07-31 00:00:00,1
2013-08-01 00:00:00,2013-08-01 00:00:00,2,2013-08-01 00:00:00,1.9,1.9,4,247,484,2013-08-01 00:00:00,1
2013-08-02 00:00:00,2013-08-02 00:00:00,2.1,2013-08-02 00:00:00,1.9,1.9,82,411092,823120.1,2013-08-02 00:00:00,1
2013-08-05 00:00:00,2013-08-05 00:00:00,2.1,2013-08-05 00:00:00,1.9,2,37,122833,245564.8,2013-08-05 00:00:00,1
2013-08-06 00:00:00,2013-08-06 00:00:00,2.1,2013-08-06 00:00:00,1.9,2,64,680298,1342121.4,2013-08-06 00:00:00,1
2013-08-07 00:00:00,2013-08-07 00:00:00,2,2013-08-07 00:00:00,1.9,2,35,247511,493291.1,2013-08-07 00:00:00,1
2013-08-08 00:00:00,2013-08-08 00:00:00,2,2013-08-08 00:00:00,1.9,1.9,11,60651,115257.3,2013-08-08 00:00:00,1
2013-08-12 00:00:00,2013-08-12 00:00:00,2,2013-08-12 00:00:00,2,2,17,138500,277000,2013-08-12 00:00:00,1
2013-08-13 00:00:00,2013-08-13 00:00:00,2,2013-08-13 00:00:00,1.9,1.9,12,30559,60568,2013-08-13 00:00:00,1
2013-08-14 00:00:00,2013-08-14 00:00:00,2,2013-08-14 00:00:00,1.9,1.9,35,104432,200124,2013-08-14 00:00:00,1
2013-08-15 00:00:00,2013-08-15 00:00:00,2,2013-08-15 00:00:00,1.9,1.9,17,70790,134511,2013-08-15 00:00:00,1
2013-08-16 00:00:00,2013-08-16 00:00:00,2,2013-08-16 00:00:00,1.9,1.9,24,223929,425480.2,2013-08-16 00:00:00,1
2013-08-19 00:00:00,2013-08-19 00:00:00,2,2013-08-19 00:00:00,1.8,1.9,15,30432,57850.2,2013-08-19 00:00:00,1
2013-08-21 00:00:00,2013-08-21 00:00:00,1.9,2013-08-21 00:00:00,1.8,1.8,45,203960,367292.5,2013-08-21 00:00:00,1
2013-08-22 00:00:00,2013-08-22 00:00:00,1.9,2013-08-22 00:00:00,1.8,1.9,68,167648,314865.7,2013-08-22 00:00:00,1
2013-08-23 00:00:00,2013-08-23 00:00:00,1.9,2013-08-23 00:00:00,1.8,1.9,10,48151,91296.9,2013-08-23 00:00:00,1
2013-08-26 00:00:00,2013-08-26 00:00:00,1.9,2013-08-26 00:00:00,1.7,1.8,26,125310,225109,2013-08-26 00:00:00,1
2013-08-27 00:00:00,2013-08-27 00:00:00,1.8,2013-08-27 00:00:00,1.7,1.8,61,167025,286547.5,2013-08-27 00:00:00,1
2013-08-28 00:00:00,2013-08-28 00:00:00,1.8,2013-08-28 00:00:00,1.6,1.7,37,105352,175258.4,2013-08-28 00:00:00,1
2013-08-29 00:00:00,2013-08-29 00:00:00,1.8,2013-08-29 00:00:00,1.7,1.8,7,15265,27061.5,2013-08-29 00:00:00,1
2013-08-30 00:00:00,2013-08-30 00:00:00,1.8,2013-08-30 00:00:00,1.7,1.7,22,46002,78223.6,2013-08-30 00:00:00,1
2013-09-02 00:00:00,2013-09-02 00:00:00,1.7,2013-09-02 00:00:00,1.7,1.7,5,3551,6036.7,2013-09-02 00:00:00,1
2013-09-03 00:00:00,2013-09-03 00:00:00,1.7,2013-09-03 00:00:00,1.6,1.6,22,70048,116242.2,2013-09-03 00:00:00,1
2013-09-04 00:00:00,2013-09-04 00:00:00,1.7,2013-09-04 00:00:00,1.6,1.6,17,51224,83530.8,2013-09-04 00:00:00,1
2013-09-05 00:00:00,2013-09-05 00:00:00,1.7,2013-09-05 00:00:00,1.5,1.6,23,176933,283036.9,2013-09-05 00:00:00,1
2013-09-06 00:00:00,2013-09-06 00:00:00,1.6,2013-09-06 00:00:00,1.5,1.6,11,11128,17803.8,2013-09-06 00:00:00,1
2013-09-09 00:00:00,2013-09-09 00:00:00,1.7,2013-09-09 00:00:00,1.6,1.6,17,114818,193708.8,2013-09-09 00:00:00,1
2013-09-10 00:00:00,2013-09-10 00:00:00,1.8,2013-09-10 00:00:00,1.6,1.7,80,256202,435559,2013-09-10 00:00:00,1
2013-09-11 00:00:00,2013-09-11 00:00:00,1.8,2013-09-11 00:00:00,1.7,1.7,20,91000,154710,2013-09-11 00:00:00,1
2013-09-12 00:00:00,2013-09-12 00:00:00,1.8,2013-09-12 00:00:00,1.7,1.7,7,54500,93100,2013-09-12 00:00:00,1
2013-09-13 00:00:00,2013-09-13 00:00:00,1.9,2013-09-13 00:00:00,1.7,1.8,43,223333,404999.5,2013-09-13 00:00:00,1
2013-09-16 00:00:00,2013-09-16 00:00:00,1.8,2013-09-16 00:00:00,1.7,1.7,29,191805,338718.8,2013-09-16 00:00:00,1
2013-09-17 00:00:00,2013-09-17 00:00:00,1.8,2013-09-17 00:00:00,1.8,1.8,5,4400,7920,2013-09-17 00:00:00,1
2013-09-18 00:00:00,2013-09-18 00:00:00,1.8,2013-09-18 00:00:00,1.7,1.7,9,35290,61343,2013-09-18 00:00:00,1
2013-09-20 00:00:00,2013-09-20 00:00:00,1.9,2013-09-20 00:00:00,1.7,1.8,21,101264,182222.6,2013-09-20 00:00:00,1
2013-09-23 00:00:00,2013-09-23 00:00:00,1.7,2013-09-23 00:00:00,1.7,1.7,20,260000,442000,2013-09-23 00:00:00,1
2013-09-24 00:00:00,2013-09-24 00:00:00,2,2013-09-24 00:00:00,1.7,1.9,71,700959,1312232.3,2013-09-24 00:00:00,1
2013-09-25 00:00:00,2013-09-25 00:00:00,2,2013-09-25 00:00:00,1.8,1.9,82,1838294,3398792.4,2013-09-25 00:00:00,1
2013-09-26 00:00:00,2013-09-26 00:00:00,2.5,2013-09-26 00:00:00,1.8,2.3,492,6006173,13622187.1,2013-09-26 00:00:00,1
2013-09-27 00:00:00,2013-09-27 00:00:00,2.8,2013-09-27 00:00:00,2.4,2.4,847,10758864,27396962.4,2013-09-27 00:00:00,1
2013-09-30 00:00:00,2013-09-30 00:00:00,2.4,2013-09-30 00:00:00,2.1,2.2,286,1865881,4225308.7,2013-09-30 00:00:00,1
2013-10-01 00:00:00,2013-10-01 00:00:00,2.2,2013-10-01 00:00:00,2,2,103,815109,1680408.9,2013-10-01 00:00:00,1
2013-10-02 00:00:00,2013-10-02 00:00:00,2.2,2013-10-02 00:00:00,2,2.1,51,251327,528866.9,2013-10-02 00:00:00,1
2013-10-03 00:00:00,2013-10-03 00:00:00,2.3,2013-10-03 00:00:00,2.1,2.2,67,599559,1311339.9,2013-10-03 00:00:00,1
2013-10-04 00:00:00,2013-10-04 00:00:00,2.3,2013-10-04 00:00:00,2.1,2.1,44,330599,697292.9,2013-10-04 00:00:00,1
