,SECURITY_DA,PRICE
-----------,----,-----------
2000-11-24 00:00:00,AAIC,12
2000-12-11 00:00:00,AAIC,10
2000-01-03 00:00:00,ABAN,22
2000-02-23 00:00:00,ABAN,21
2000-02-29 00:00:00,ABAN,22
2000-03-07 00:00:00,ABAN,22
2000-03-09 00:00:00,ABAN,22.25
2000-04-25 00:00:00,ABAN,22.5
2000-05-02 00:00:00,ABAN,22
2000-05-03 00:00:00,ABAN,22
2000-05-04 00:00:00,ABAN,22
2000-05-05 00:00:00,ABAN,22
2000-05-10 00:00:00,ABAN,22
2000-07-12 00:00:00,ABAN,22
2000-07-24 00:00:00,ABAN,23
2000-08-03 00:00:00,ABAN,24
2000-08-11 00:00:00,ABAN,23.5
2000-08-15 00:00:00,ABAN,25
2000-08-23 00:00:00,ABAN,25
2000-08-29 00:00:00,ABAN,25.5
2000-09-06 00:00:00,ABAN,25.5
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-09-08 00:00:00,ABAN,25.5
2000-09-12 00:00:00,ABAN,25.5
2000-09-22 00:00:00,ABAN,29
2000-10-11 00:00:00,ABAN,29
2000-10-17 00:00:00,ABAN,29
2000-10-23 00:00:00,ABAN,26
2000-10-30 00:00:00,ABAN,25
2000-11-01 00:00:00,ABAN,24
2000-11-02 00:00:00,ABAN,25.5
2000-01-03 00:00:00,ACAP,5.5
2000-01-04 00:00:00,ACAP,5.5
2000-01-05 00:00:00,ACAP,5.75
2000-01-06 00:00:00,ACAP,5.5
2000-01-10 00:00:00,ACAP,5.5
2000-01-11 00:00:00,ACAP,5.25
2000-01-12 00:00:00,ACAP,5.25
2000-01-14 00:00:00,ACAP,5.5
2000-01-17 00:00:00,ACAP,5.5
2000-01-19 00:00:00,ACAP,5.5
2000-01-24 00:00:00,ACAP,5.5
2000-01-25 00:00:00,ACAP,5.5
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-01-26 00:00:00,ACAP,5.5
2000-01-27 00:00:00,ACAP,5.5
2000-01-28 00:00:00,ACAP,5.5
2000-02-01 00:00:00,ACAP,5.5
2000-02-02 00:00:00,ACAP,5
2000-02-03 00:00:00,ACAP,5
2000-02-07 00:00:00,ACAP,5
2000-02-08 00:00:00,ACAP,5
2000-02-09 00:00:00,ACAP,5
2000-02-10 00:00:00,ACAP,5
2000-02-11 00:00:00,ACAP,4.75
2000-02-15 00:00:00,ACAP,4.75
2000-02-16 00:00:00,ACAP,5
2000-02-17 00:00:00,ACAP,5
2000-02-18 00:00:00,ACAP,5
2000-02-21 00:00:00,ACAP,4.75
2000-02-22 00:00:00,ACAP,4.75
2000-02-23 00:00:00,ACAP,4.75
2000-02-24 00:00:00,ACAP,4.75
2000-02-28 00:00:00,ACAP,4.75
2000-02-29 00:00:00,ACAP,4.75
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-03-01 00:00:00,ACAP,4.75
2000-03-02 00:00:00,ACAP,4.5
2000-03-03 00:00:00,ACAP,4.5
2000-03-06 00:00:00,ACAP,4.5
2000-03-09 00:00:00,ACAP,4.5
2000-03-10 00:00:00,ACAP,4.25
2000-03-13 00:00:00,ACAP,4
2000-03-14 00:00:00,ACAP,4.25
2000-03-15 00:00:00,ACAP,4
2000-03-16 00:00:00,ACAP,4
2000-03-17 00:00:00,ACAP,4.25
2000-03-20 00:00:00,ACAP,4.25
2000-03-21 00:00:00,ACAP,4.25
2000-03-22 00:00:00,ACAP,4.25
2000-03-23 00:00:00,ACAP,4.25
2000-03-24 00:00:00,ACAP,4.25
2000-03-27 00:00:00,ACAP,4.25
2000-03-28 00:00:00,ACAP,4.25
2000-03-29 00:00:00,ACAP,4
2000-04-03 00:00:00,ACAP,4
2000-04-04 00:00:00,ACAP,4.25
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-04-05 00:00:00,ACAP,4
2000-04-06 00:00:00,ACAP,4
2000-04-07 00:00:00,ACAP,4.25
2000-04-20 00:00:00,ACAP,4.25
2000-04-26 00:00:00,ACAP,4
2000-04-27 00:00:00,ACAP,3.75
2000-04-28 00:00:00,ACAP,3.75
2000-05-02 00:00:00,ACAP,3.75
2000-05-03 00:00:00,ACAP,3.75
2000-05-04 00:00:00,ACAP,3.75
2000-05-05 00:00:00,ACAP,3.75
2000-05-08 00:00:00,ACAP,3.75
2000-05-09 00:00:00,ACAP,3.75
2000-05-10 00:00:00,ACAP,3.75
2000-05-11 00:00:00,ACAP,3.75
2000-05-12 00:00:00,ACAP,3.75
2000-05-29 00:00:00,ACAP,4
2000-05-31 00:00:00,ACAP,4
2000-06-01 00:00:00,ACAP,4
2000-06-08 00:00:00,ACAP,4.25
2000-06-09 00:00:00,ACAP,4.25
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-06-12 00:00:00,ACAP,4.25
2000-06-13 00:00:00,ACAP,4.25
2000-06-14 00:00:00,ACAP,4.25
2000-06-20 00:00:00,ACAP,4.25
2000-06-21 00:00:00,ACAP,4.25
2000-06-23 00:00:00,ACAP,4.5
2000-06-26 00:00:00,ACAP,4.25
2000-06-28 00:00:00,ACAP,4.25
2000-06-29 00:00:00,ACAP,4.25
2000-07-03 00:00:00,ACAP,4.25
2000-07-04 00:00:00,ACAP,4.25
2000-07-05 00:00:00,ACAP,4.25
2000-07-06 00:00:00,ACAP,4.5
2000-07-07 00:00:00,ACAP,4.5
2000-07-10 00:00:00,ACAP,4.5
2000-07-11 00:00:00,ACAP,4.5
2000-07-12 00:00:00,ACAP,4.25
2000-07-13 00:00:00,ACAP,4.25
2000-07-14 00:00:00,ACAP,4.5
2000-07-17 00:00:00,ACAP,4.5
2000-07-18 00:00:00,ACAP,4.75
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-07-19 00:00:00,ACAP,4.25
2000-07-20 00:00:00,ACAP,4.5
2000-07-21 00:00:00,ACAP,4.75
2000-07-24 00:00:00,ACAP,4.75
2000-07-25 00:00:00,ACAP,5
2000-07-26 00:00:00,ACAP,5
2000-07-27 00:00:00,ACAP,5
2000-07-28 00:00:00,ACAP,5
2000-07-31 00:00:00,ACAP,5
2000-08-01 00:00:00,ACAP,5
2000-08-02 00:00:00,ACAP,5
2000-08-03 00:00:00,ACAP,5.25
2000-08-04 00:00:00,ACAP,5.25
2000-08-08 00:00:00,ACAP,5
2000-08-09 00:00:00,ACAP,5.25
2000-08-10 00:00:00,ACAP,5.25
2000-08-11 00:00:00,ACAP,5.25
2000-08-15 00:00:00,ACAP,5.25
2000-08-16 00:00:00,ACAP,5.25
2000-08-17 00:00:00,ACAP,5.25
2000-08-18 00:00:00,ACAP,5.25
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-08-21 00:00:00,ACAP,5.25
2000-08-22 00:00:00,ACAP,5.25
2000-08-23 00:00:00,ACAP,5.25
2000-08-24 00:00:00,ACAP,6
2000-08-25 00:00:00,ACAP,6.5
2000-08-29 00:00:00,ACAP,6.5
2000-08-30 00:00:00,ACAP,6
2000-08-31 00:00:00,ACAP,6
2000-09-04 00:00:00,ACAP,6.25
2000-09-05 00:00:00,ACAP,6.5
2000-09-06 00:00:00,ACAP,6
2000-09-08 00:00:00,ACAP,5.75
2000-09-11 00:00:00,ACAP,6
2000-09-12 00:00:00,ACAP,6
2000-09-14 00:00:00,ACAP,6.25
2000-09-15 00:00:00,ACAP,6.5
2000-09-18 00:00:00,ACAP,6.5
2000-09-19 00:00:00,ACAP,6.5
2000-09-21 00:00:00,ACAP,6.5
2000-09-22 00:00:00,ACAP,6.5
2000-09-25 00:00:00,ACAP,6.5
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-09-26 00:00:00,ACAP,6.5
2000-09-28 00:00:00,ACAP,7
2000-09-29 00:00:00,ACAP,7.5
2000-10-02 00:00:00,ACAP,7.5
2000-10-03 00:00:00,ACAP,7
2000-10-04 00:00:00,ACAP,6.75
2000-10-05 00:00:00,ACAP,6.75
2000-10-09 00:00:00,ACAP,7
2000-10-10 00:00:00,ACAP,7
2000-10-11 00:00:00,ACAP,6.75
2000-10-13 00:00:00,ACAP,6.5
2000-10-16 00:00:00,ACAP,6.5
2000-10-17 00:00:00,ACAP,6.5
2000-10-18 00:00:00,ACAP,6.5
2000-10-19 00:00:00,ACAP,6.75
2000-10-20 00:00:00,ACAP,6.75
2000-10-23 00:00:00,ACAP,6.5
2000-10-24 00:00:00,ACAP,6.5
2000-10-25 00:00:00,ACAP,6.5
2000-10-27 00:00:00,ACAP,6.5
2000-10-30 00:00:00,ACAP,6.5
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-10-31 00:00:00,ACAP,6.25
2000-11-02 00:00:00,ACAP,6.25
2000-11-03 00:00:00,ACAP,6
2000-11-06 00:00:00,ACAP,6
2000-11-08 00:00:00,ACAP,6
2000-11-09 00:00:00,ACAP,6
2000-11-10 00:00:00,ACAP,6
2000-11-13 00:00:00,ACAP,6
2000-11-14 00:00:00,ACAP,6
2000-11-15 00:00:00,ACAP,6
2000-11-16 00:00:00,ACAP,5.75
2000-11-17 00:00:00,ACAP,5.75
2000-11-20 00:00:00,ACAP,5.75
2000-11-21 00:00:00,ACAP,5.5
2000-11-22 00:00:00,ACAP,5.75
2000-11-23 00:00:00,ACAP,5.5
2000-11-24 00:00:00,ACAP,5.25
2000-11-28 00:00:00,ACAP,5
2000-11-29 00:00:00,ACAP,5
2000-11-30 00:00:00,ACAP,5
2000-12-01 00:00:00,ACAP,5
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-12-06 00:00:00,ACAP,5
2000-12-12 00:00:00,ACAP,5
2000-12-13 00:00:00,ACAP,5
2000-12-14 00:00:00,ACAP,5
2000-12-18 00:00:00,ACAP,5
2000-12-19 00:00:00,ACAP,5
2000-12-27 00:00:00,ACAP,5
2000-12-28 00:00:00,ACAP,4.75
2000-01-05 00:00:00,ACL,51
2000-01-10 00:00:00,ACL,50
2000-01-27 00:00:00,ACL,48
2000-01-31 00:00:00,ACL,48
2000-02-01 00:00:00,ACL,47.5
2000-02-02 00:00:00,ACL,47
2000-02-03 00:00:00,ACL,45
2000-02-08 00:00:00,ACL,44
2000-02-09 00:00:00,ACL,44.25
2000-02-14 00:00:00,ACL,46
2000-02-15 00:00:00,ACL,46
2000-02-16 00:00:00,ACL,46
2000-02-18 00:00:00,ACL,48
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-02-23 00:00:00,ACL,47
2000-02-29 00:00:00,ACL,47
2000-03-01 00:00:00,ACL,47
2000-03-02 00:00:00,ACL,47
2000-03-03 00:00:00,ACL,47
2000-03-07 00:00:00,ACL,48
2000-03-08 00:00:00,ACL,47
2000-03-15 00:00:00,ACL,47
2000-03-16 00:00:00,ACL,47
2000-03-20 00:00:00,ACL,47
2000-03-21 00:00:00,ACL,47
2000-03-24 00:00:00,ACL,47
2000-03-30 00:00:00,ACL,45
2000-04-05 00:00:00,ACL,44.75
2000-04-11 00:00:00,ACL,45
2000-04-19 00:00:00,ACL,45
2000-04-26 00:00:00,ACL,42.75
2000-05-02 00:00:00,ACL,41
2000-05-04 00:00:00,ACL,40
2000-05-05 00:00:00,ACL,40
2000-05-09 00:00:00,ACL,40
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-05-24 00:00:00,ACL,40
2000-05-26 00:00:00,ACL,41
2000-06-01 00:00:00,ACL,41
2000-06-02 00:00:00,ACL,41
2000-06-05 00:00:00,ACL,40
2000-06-06 00:00:00,ACL,40
2000-06-26 00:00:00,ACL,38.5
2000-06-27 00:00:00,ACL,38.5
2000-06-29 00:00:00,ACL,39
2000-07-03 00:00:00,ACL,39
2000-07-05 00:00:00,ACL,38.25
2000-07-07 00:00:00,ACL,38
2000-07-10 00:00:00,ACL,38
2000-07-11 00:00:00,ACL,38
2000-07-12 00:00:00,ACL,38.25
2000-07-14 00:00:00,ACL,37.75
2000-07-24 00:00:00,ACL,38.75
2000-07-25 00:00:00,ACL,39
2000-08-01 00:00:00,ACL,38
2000-08-02 00:00:00,ACL,35.25
2000-08-04 00:00:00,ACL,35.5
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-08-07 00:00:00,ACL,35.5
2000-08-10 00:00:00,ACL,35.5
2000-08-17 00:00:00,ACL,36
2000-08-18 00:00:00,ACL,37.75
2000-08-23 00:00:00,ACL,37
2000-08-25 00:00:00,ACL,38
2000-09-07 00:00:00,ACL,38
2000-09-15 00:00:00,ACL,37
2000-09-20 00:00:00,ACL,37
2000-09-21 00:00:00,ACL,35.5
2000-09-25 00:00:00,ACL,36.5
2000-10-05 00:00:00,ACL,36.5
2000-11-01 00:00:00,ACL,36
2000-11-02 00:00:00,ACL,36
2000-11-23 00:00:00,ACL,40
2000-11-24 00:00:00,ACL,40
2000-11-27 00:00:00,ACL,38
2000-12-01 00:00:00,ACL,38
2000-12-04 00:00:00,ACL,37.5
2000-12-12 00:00:00,ACL,37.5
2000-12-13 00:00:00,ACL,37.5
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-12-15 00:00:00,ACL,37.5
2000-12-18 00:00:00,ACL,37.5
2000-12-19 00:00:00,ACL,37
2000-12-20 00:00:00,ACL,37.25
2000-12-21 00:00:00,ACL,37.5
2000-12-22 00:00:00,ACL,38
2000-12-27 00:00:00,ACL,32.5
2000-12-28 00:00:00,ACL,28
2000-01-05 00:00:00,ACME,7.5
2000-01-24 00:00:00,ACME,7.5
2000-01-26 00:00:00,ACME,7
2000-01-27 00:00:00,ACME,7
2000-01-31 00:00:00,ACME,7
2000-02-01 00:00:00,ACME,7
2000-02-15 00:00:00,ACME,7.5
2000-02-21 00:00:00,ACME,7
2000-03-01 00:00:00,ACME,7
2000-03-13 00:00:00,ACME,5
2000-03-23 00:00:00,ACME,5.5
2000-03-24 00:00:00,ACME,5.5
2000-03-27 00:00:00,ACME,5.5
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-03-28 00:00:00,ACME,5.5
2000-03-31 00:00:00,ACME,5.75
2000-04-17 00:00:00,ACME,5.75
2000-04-19 00:00:00,ACME,5.75
2000-05-05 00:00:00,ACME,5.5
2000-05-08 00:00:00,ACME,5
2000-05-29 00:00:00,ACME,6
2000-05-30 00:00:00,ACME,5.75
2000-06-01 00:00:00,ACME,6.25
2000-07-05 00:00:00,ACME,6
2000-08-01 00:00:00,ACME,6
2000-08-29 00:00:00,ACME,6.25
2000-08-30 00:00:00,ACME,6.5
2000-08-31 00:00:00,ACME,6.5
2000-09-05 00:00:00,ACME,5.5
2000-09-06 00:00:00,ACME,5.5
2000-09-07 00:00:00,ACME,5.5
2000-09-08 00:00:00,ACME,5.5
2000-09-11 00:00:00,ACME,5.5
2000-09-14 00:00:00,ACME,5.5
2000-09-18 00:00:00,ACME,5.5
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-09-19 00:00:00,ACME,5.5
2000-09-20 00:00:00,ACME,5.5
2000-09-21 00:00:00,ACME,5.5
2000-09-25 00:00:00,ACME,5.5
2000-09-26 00:00:00,ACME,5.25
2000-10-02 00:00:00,ACME,5.5
2000-10-13 00:00:00,ACME,5.5
2000-10-17 00:00:00,ACME,5.25
2000-10-18 00:00:00,ACME,5.25
2000-10-25 00:00:00,ACME,5.25
2000-11-01 00:00:00,ACME,6
2000-11-08 00:00:00,ACME,5.75
2000-11-09 00:00:00,ACME,5.75
2000-12-22 00:00:00,ACME,5.5
2000-02-10 00:00:00,AEC,35
2000-02-16 00:00:00,AEC,35
2000-02-28 00:00:00,AEC,34.25
2000-03-01 00:00:00,AEC,34.25
2000-03-03 00:00:00,AEC,34.5
2000-03-15 00:00:00,AEC,34.5
2000-03-16 00:00:00,AEC,34.5
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-03-31 00:00:00,AEC,32
2000-04-10 00:00:00,AEC,28
2000-04-11 00:00:00,AEC,26
2000-04-25 00:00:00,AEC,24.5
2000-05-10 00:00:00,AEC,22.5
2000-06-21 00:00:00,AEC,30
2000-06-22 00:00:00,AEC,26
2000-06-23 00:00:00,AEC,24
2000-07-13 00:00:00,AEC,27
2000-07-25 00:00:00,AEC,24.5
2000-07-26 00:00:00,AEC,25
2000-08-25 00:00:00,AEC,24
2000-09-14 00:00:00,AEC,23
2000-09-26 00:00:00,AEC,27.5
2000-10-24 00:00:00,AEC,29
2000-11-24 00:00:00,AEC,28.75
2000-12-14 00:00:00,AEC,31
2000-12-18 00:00:00,AEC,30.75
2000-12-20 00:00:00,AEC,30.75
2000-01-03 00:00:00,AGAL,8.5
2000-01-04 00:00:00,AGAL,8.75
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-01-05 00:00:00,AGAL,8.5
2000-01-06 00:00:00,AGAL,8.25
2000-01-11 00:00:00,AGAL,8.25
2000-01-12 00:00:00,AGAL,8.25
2000-01-13 00:00:00,AGAL,8.5
2000-01-14 00:00:00,AGAL,8.25
2000-01-18 00:00:00,AGAL,9
2000-01-19 00:00:00,AGAL,9
2000-01-24 00:00:00,AGAL,8.75
2000-01-25 00:00:00,AGAL,9
2000-01-26 00:00:00,AGAL,8.75
2000-01-27 00:00:00,AGAL,9
2000-01-31 00:00:00,AGAL,9
2000-02-01 00:00:00,AGAL,9
2000-02-02 00:00:00,AGAL,9.25
2000-02-03 00:00:00,AGAL,9.25
2000-02-07 00:00:00,AGAL,9.5
2000-02-08 00:00:00,AGAL,9.5
2000-02-09 00:00:00,AGAL,9.25
2000-02-10 00:00:00,AGAL,9.5
2000-02-11 00:00:00,AGAL,9.75
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-02-14 00:00:00,AGAL,9.75
2000-02-15 00:00:00,AGAL,10
2000-02-16 00:00:00,AGAL,10.25
2000-02-17 00:00:00,AGAL,10.25
2000-02-18 00:00:00,AGAL,10.5
2000-02-21 00:00:00,AGAL,10.25
2000-02-22 00:00:00,AGAL,10.25
2000-02-23 00:00:00,AGAL,10
2000-02-24 00:00:00,AGAL,10
2000-02-25 00:00:00,AGAL,10
2000-02-28 00:00:00,AGAL,9.75
2000-02-29 00:00:00,AGAL,9.5
2000-03-01 00:00:00,AGAL,9
2000-03-03 00:00:00,AGAL,9.25
2000-03-06 00:00:00,AGAL,9
2000-03-07 00:00:00,AGAL,8.75
2000-03-08 00:00:00,AGAL,9
2000-03-09 00:00:00,AGAL,9
2000-03-10 00:00:00,AGAL,8.75
2000-03-13 00:00:00,AGAL,8.5
2000-03-14 00:00:00,AGAL,8
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-03-15 00:00:00,AGAL,9
2000-03-16 00:00:00,AGAL,9.25
2000-03-17 00:00:00,AGAL,9
2000-03-20 00:00:00,AGAL,9
2000-03-21 00:00:00,AGAL,8.75
2000-03-22 00:00:00,AGAL,8.75
2000-03-24 00:00:00,AGAL,8.75
2000-03-27 00:00:00,AGAL,8.75
2000-03-28 00:00:00,AGAL,8.75
2000-03-31 00:00:00,AGAL,8.5
2000-04-03 00:00:00,AGAL,8.25
2000-04-04 00:00:00,AGAL,8.25
2000-04-05 00:00:00,AGAL,8.5
2000-04-06 00:00:00,AGAL,8.5
2000-04-10 00:00:00,AGAL,8.5
2000-04-17 00:00:00,AGAL,8.25
2000-04-20 00:00:00,AGAL,8
2000-04-25 00:00:00,AGAL,7.75
2000-04-26 00:00:00,AGAL,7.5
2000-04-27 00:00:00,AGAL,7
2000-05-03 00:00:00,AGAL,7
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-05-04 00:00:00,AGAL,6
2000-05-08 00:00:00,AGAL,6
2000-05-09 00:00:00,AGAL,7.5
2000-05-10 00:00:00,AGAL,8.25
2000-05-11 00:00:00,AGAL,6.75
2000-05-12 00:00:00,AGAL,7
2000-05-15 00:00:00,AGAL,7.75
2000-05-16 00:00:00,AGAL,8
2000-05-19 00:00:00,AGAL,8
2000-05-22 00:00:00,AGAL,7.25
2000-05-23 00:00:00,AGAL,7.5
2000-05-24 00:00:00,AGAL,7.25
2000-05-25 00:00:00,AGAL,7.25
2000-05-26 00:00:00,AGAL,7.25
2000-05-29 00:00:00,AGAL,7.25
2000-05-30 00:00:00,AGAL,7.25
2000-05-31 00:00:00,AGAL,7
2000-06-02 00:00:00,AGAL,7.25
2000-06-05 00:00:00,AGAL,7
2000-06-07 00:00:00,AGAL,7
2000-06-08 00:00:00,AGAL,7
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-06-09 00:00:00,AGAL,6.75
2000-06-14 00:00:00,AGAL,7.25
2000-06-20 00:00:00,AGAL,7
2000-06-21 00:00:00,AGAL,7.75
2000-06-22 00:00:00,AGAL,7.5
2000-06-27 00:00:00,AGAL,7.5
2000-06-29 00:00:00,AGAL,7.5
2000-06-30 00:00:00,AGAL,7.5
2000-07-03 00:00:00,AGAL,7.25
2000-07-04 00:00:00,AGAL,7.25
2000-07-05 00:00:00,AGAL,7.25
2000-07-06 00:00:00,AGAL,7
2000-07-07 00:00:00,AGAL,7
2000-07-10 00:00:00,AGAL,7
2000-07-11 00:00:00,AGAL,7.5
2000-07-12 00:00:00,AGAL,7.25
2000-07-13 00:00:00,AGAL,7
2000-07-17 00:00:00,AGAL,7
2000-07-18 00:00:00,AGAL,7
2000-07-19 00:00:00,AGAL,7
2000-07-21 00:00:00,AGAL,7.25
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-07-24 00:00:00,AGAL,7
2000-07-25 00:00:00,AGAL,7.25
2000-07-26 00:00:00,AGAL,7.25
2000-07-28 00:00:00,AGAL,7.25
2000-07-31 00:00:00,AGAL,7.25
2000-08-01 00:00:00,AGAL,7
2000-08-04 00:00:00,AGAL,7
2000-08-07 00:00:00,AGAL,7
2000-08-09 00:00:00,AGAL,7
2000-08-10 00:00:00,AGAL,7
2000-08-15 00:00:00,AGAL,7
2000-08-16 00:00:00,AGAL,7
2000-08-17 00:00:00,AGAL,7
2000-08-18 00:00:00,AGAL,7
2000-08-22 00:00:00,AGAL,6.75
2000-08-23 00:00:00,AGAL,7
2000-08-25 00:00:00,AGAL,7.25
2000-08-28 00:00:00,AGAL,7.25
2000-08-29 00:00:00,AGAL,7.25
2000-08-30 00:00:00,AGAL,7.25
2000-08-31 00:00:00,AGAL,7
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-09-01 00:00:00,AGAL,7
2000-09-05 00:00:00,AGAL,7
2000-09-06 00:00:00,AGAL,7
2000-09-11 00:00:00,AGAL,7
2000-09-12 00:00:00,AGAL,7
2000-09-20 00:00:00,AGAL,7
2000-09-21 00:00:00,AGAL,7.5
2000-09-22 00:00:00,AGAL,7.75
2000-09-27 00:00:00,AGAL,7.25
2000-09-28 00:00:00,AGAL,8.25
2000-09-29 00:00:00,AGAL,8.5
2000-10-02 00:00:00,AGAL,8.5
2000-10-03 00:00:00,AGAL,8.25
2000-10-04 00:00:00,AGAL,8.25
2000-10-05 00:00:00,AGAL,8.25
2000-10-06 00:00:00,AGAL,8.25
2000-10-09 00:00:00,AGAL,8.25
2000-10-11 00:00:00,AGAL,7.5
2000-10-13 00:00:00,AGAL,8
2000-10-16 00:00:00,AGAL,8
2000-10-18 00:00:00,AGAL,8.25
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-10-24 00:00:00,AGAL,7.75
2000-10-26 00:00:00,AGAL,7.75
2000-10-31 00:00:00,AGAL,7.5
2000-11-01 00:00:00,AGAL,7.75
2000-11-02 00:00:00,AGAL,7.75
2000-11-03 00:00:00,AGAL,7.75
2000-11-08 00:00:00,AGAL,7.75
2000-11-13 00:00:00,AGAL,7.5
2000-11-16 00:00:00,AGAL,7.25
2000-11-20 00:00:00,AGAL,7
2000-11-21 00:00:00,AGAL,6.75
2000-11-22 00:00:00,AGAL,6.75
2000-11-23 00:00:00,AGAL,6.75
2000-11-27 00:00:00,AGAL,6.5
2000-11-28 00:00:00,AGAL,6.5
2000-11-29 00:00:00,AGAL,6.75
2000-12-01 00:00:00,AGAL,6.5
2000-12-04 00:00:00,AGAL,7
2000-12-05 00:00:00,AGAL,6.5
2000-12-06 00:00:00,AGAL,6.75
2000-12-11 00:00:00,AGAL,6.75
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
2000-12-12 00:00:00,AGAL,6.75
2000-12-13 00:00:00,AGAL,7
2000-12-14 00:00:00,AGAL,7.25
2000-12-15 00:00:00,AGAL,7
2000-12-18 00:00:00,AGAL,7
2000-12-20 00:00:00,AGAL,6.75
2000-12-21 00:00:00,AGAL,7
2000-12-22 00:00:00,AGAL,7
2000-12-28 00:00:00,AGAL,6.75
2000-12-29 00:00:00,AGAL,6.75
2000-10-30 00:00:00,AHCL,30
2000-10-31 00:00:00,AHCL,30
2000-11-08 00:00:00,AHCL,30
2000-11-13 00:00:00,AHCL,30
2000-11-24 00:00:00,AHCL,30
2000-01-04 00:00:00,AHOT,6.5
2000-01-05 00:00:00,AHOT,6.75
2000-01-06 00:00:00,AHOT,6.5
2000-01-10 00:00:00,AHOT,6.5
2000-01-11 00:00:00,AHOT,6.5
2000-01-12 00:00:00,AHOT,6.5
2000-01-13 00:00:00,AHOT,6.5
2000-01-14 00:00:00,AHOT,6.5
2000-01-17 00:00:00,AHOT,6.75
2000-01-18 00:00:00,AHOT,6.5
2000-01-19 00:00:00,AHOT,6.25
2000-01-24 00:00:00,AHOT,6.5
2000-01-25 00:00:00,AHOT,6.25
2000-01-26 00:00:00,AHOT,6.5
2000-01-27 00:00:00,AHOT,6.5
2000-01-28 00:00:00,AHOT,6.25
2000-01-31 00:00:00,AHOT,6.5
2000-02-01 00:00:00,AHOT,6.5
2000-02-02 00:00:00,AHOT,6.25
2000-02-03 00:00:00,AHOT,6.5
2000-02-07 00:00:00,AHOT,6.25
2000-02-08 00:00:00,AHOT,6.25
2000-02-09 00:00:00,AHOT,6.5
2000-02-11 00:00:00,AHOT,6.25
2000-02-14 00:00:00,AHOT,6.5
2000-02-15 00:00:00,AHOT,6.25
2000-02-16 00:00:00,AHOT,6.5
2000-02-17 00:00:00,AHOT,6.25
2000-02-18 00:00:00,AHOT,6.5
2000-02-21 00:00:00,AHOT,6.5
2000-02-22 00:00:00,AHOT,6.25
2000-02-23 00:00:00,AHOT,6.25
2000-02-24 00:00:00,AHOT,6.5
2000-02-25 00:00:00,AHOT,6.5
2000-02-28 00:00:00,AHOT,6
2000-02-29 00:00:00,AHOT,6.25
2000-03-01 00:00:00,AHOT,6.25
2000-03-02 00:00:00,AHOT,6.25
2000-03-03 00:00:00,AHOT,6.25
2000-03-07 00:00:00,AHOT,6.25
2000-03-08 00:00:00,AHOT,6.25
2000-03-09 00:00:00,AHOT,6.25
2000-03-10 00:00:00,AHOT,6
2000-03-13 00:00:00,AHOT,5.5
2000-03-14 00:00:00,AHOT,6
2000-03-15 00:00:00,AHOT,6
2000-03-20 00:00:00,AHOT,6.25
2000-03-23 00:00:00,AHOT,5.25
2000-03-24 00:00:00,AHOT,5.75
2000-03-27 00:00:00,AHOT,5.5
2000-03-28 00:00:00,AHOT,5.25
2000-03-29 00:00:00,AHOT,5.25
2000-03-30 00:00:00,AHOT,5.25
2000-03-31 00:00:00,AHOT,5.25
2000-04-03 00:00:00,AHOT,5.25
2000-04-04 00:00:00,AHOT,5.5
2000-04-05 00:00:00,AHOT,5.5
2000-04-07 00:00:00,AHOT,5.5
2000-04-10 00:00:00,AHOT,5.25
2000-04-11 00:00:00,AHOT,5.5
2000-04-17 00:00:00,AHOT,5.25
2000-04-24 00:00:00,AHOT,5.25
