Crossings - January to December 2018,,,,,,
QUARTER,TRADE DATE,COMPANY NAME,SECURITY ID,PRICE,QUANTITY,TURNOVER
2018-1,2018-01-02 00:00:00,CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000,120,242000,29040000
2018-1,2018-01-02 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,150,300000,45000000
2018-1,2018-01-02 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,150,157000,23550000
2018-1,2018-01-03 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,250,131419,32854750
2018-1,2018-01-03 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,250,297553,74388250
2018-1,2018-01-03 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,922339,143884884
2018-1,2018-01-03 00:00:00,ON'ALLY HOLDINGS PLC,ONAL.N0000,48,2143035,102865680
2018-1,2018-01-04 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,250,91171,22792750
2018-1,2018-01-04 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,250,1244281,311070250
2018-1,2018-01-04 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,250,2817247,704311750
2018-1,2018-01-04 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,250,170674,42668500
2018-1,2018-01-04 00:00:00,MELSTACORP PLC,MELS.N0000,60,500000,30000000
2018-1,2018-01-04 00:00:00,MELSTACORP PLC,MELS.N0000,60,483625,29017500
2018-1,2018-01-04 00:00:00,MELSTACORP PLC,MELS.N0000,60,400000,24000000
2018-1,2018-01-04 00:00:00,MELSTACORP PLC,MELS.N0000,60,500000,30000000
2018-1,2018-01-05 00:00:00,CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000,120,663750,79650000
2018-1,2018-01-05 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,140,209243,29294020
2018-1,2018-01-05 00:00:00,DIALOG AXIATA PLC,DIAL.N0000,13.5,1500000,20250000
2018-1,2018-01-05 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,160,466631,74660960
2018-1,2018-01-05 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,160,500000,80000000
2018-1,2018-01-05 00:00:00,MELSTACORP PLC,MELS.N0000,60,890248,53414880
2018-1,2018-01-05 00:00:00,SAMPATH BANK PLC,SAMP.N0000,328,400000,131200000
2018-1,2018-01-05 00:00:00,SAMPATH BANK PLC,SAMP.N0000,328.5,100000,32850000
2018-1,2018-01-08 00:00:00,ACL CABLES PLC,ACL.N0000,44.5,725842,32299969
2018-1,2018-01-08 00:00:00,CEYLON TEA BROKERS PLC,CTBL.N0000,4.3,12253793,52691309.9
2018-1,2018-01-08 00:00:00,CEYLON TEA BROKERS PLC,CTBL.N0000,4.3,10908751,46907629.3
2018-1,2018-01-08 00:00:00,CEYLON TEA BROKERS PLC,CTBL.N0000,4.3,34080571,146546455.3
2018-1,2018-01-08 00:00:00,CEYLON TEA BROKERS PLC,CTBL.N0000,4.3,34646417,148979593.1
2018-1,2018-01-08 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,139,742406,103194434
2018-1,2018-01-08 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,139,2937300,408284700
2018-1,2018-01-08 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,139,1305966,181529274
2018-1,2018-01-08 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,255,149896,38223480
2018-1,2018-01-08 00:00:00,HATTON NATIONAL BANK PLC,HNB.X0000,196,181281,35531076
2018-1,2018-01-08 00:00:00,MELSTACORP PLC,MELS.N0000,60.1,2031864,122115026.4
2018-1,2018-01-08 00:00:00,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,17,3805389,64691613
2018-1,2018-01-08 00:00:00,SAMPATH BANK PLC,SAMP.N0000,330,150000,49500000
2018-1,2018-01-08 00:00:00,SAMPATH BANK PLC,SAMP.N0000,330,200000,66000000
2018-1,2018-01-09 00:00:00,DIALOG AXIATA PLC,DIAL.N0000,13.5,6109394,82476819
2018-1,2018-01-09 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,333000,54945000
2018-1,2018-01-09 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,311100,51331500
2018-1,2018-01-09 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,334000,55110000
2018-1,2018-01-10 00:00:00,PANASIAN POWER PLC,PAP.N0000,3.1,6652000,20621200
2018-1,2018-01-11 00:00:00,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,100,871840,87184000
2018-1,2018-01-11 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,162.5,270500,43956250
2018-1,2018-01-11 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,162.5,995500,161768750
2018-1,2018-01-12 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,162.5,822000,133575000
2018-1,2018-01-12 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,160,573739,91798240
2018-1,2018-01-12 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,162.5,370958,60280675
2018-1,2018-01-12 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,162.5,602000,97825000
2018-1,2018-01-12 00:00:00,MELSTACORP PLC,MELS.N0000,60,380000,22800000
2018-1,2018-01-12 00:00:00,TEEJAY LANKA PLC,TJL.N0000,36,869000,31284000
2018-1,2018-01-16 00:00:00,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,100,300000,30000000
2018-1,2018-01-16 00:00:00,CEYLON COLD STORES PLC,CCS.N0000,950,132327,125710650
2018-1,2018-01-16 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,255,120745,30789975
2018-1,2018-01-16 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,253,1418503,358881259
2018-1,2018-01-16 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,253,175786,44473858
2018-1,2018-01-16 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,253,401998,101705494
2018-1,2018-01-17 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,253,500000,126500000
2018-1,2018-01-17 00:00:00,SAMPATH BANK PLC,SAMP.N0000,320,155000,49600000
2018-1,2018-01-18 00:00:00,ACCESS ENGINEERING PLC,AEL.N0000,23,1000000,23000000
2018-1,2018-01-18 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,160,250000,40000000
2018-1,2018-01-18 00:00:00,SAMPATH BANK PLC,SAMP.N0000,315,100000,31500000
2018-1,2018-01-18 00:00:00,SAMPATH BANK PLC,SAMP.N0000,315,100000,31500000
2018-1,2018-01-18 00:00:00,SAMPATH BANK PLC,SAMP.N0000,315,600000,189000000
2018-1,2018-01-18 00:00:00,SAMPATH BANK PLC,SAMP.N0000,315,250000,78750000
2018-1,2018-01-18 00:00:00,SAMPATH BANK PLC,SAMP.N0000,315,65000,20475000
2018-1,2018-01-19 00:00:00,CARGILLS (CEYLON) PLC,CARG.N0000,195,247382,48239490
2018-1,2018-01-19 00:00:00,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1030,82473,84947190
2018-1,2018-01-19 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,136,150000,20400000
2018-1,2018-01-19 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,136,400000,54400000
2018-1,2018-01-19 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,136,200000,27200000
2018-1,2018-01-19 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,136,1520084,206731424
2018-1,2018-01-19 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,136,674865,91781640
2018-1,2018-01-19 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,136,1187158,161453488
2018-1,2018-01-19 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,136,400000,54400000
2018-1,2018-01-19 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,253,484159,122492227
2018-1,2018-01-19 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,253,1708423,432231019
2018-1,2018-01-19 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,253,211713,53563389
2018-1,2018-01-22 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,230000,37950000
2018-1,2018-01-22 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,570000,94050000
2018-1,2018-01-23 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,164.8,3589058,591476758.4
2018-1,2018-01-23 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,164.8,2660881,438513188.8
2018-1,2018-01-23 00:00:00,SAMPATH BANK PLC,SAMP.N0000,315,76433,24076395
2018-1,2018-01-24 00:00:00,CARGILLS (CEYLON) PLC,CARG.N0000,195,1171500,228442500
2018-1,2018-01-24 00:00:00,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,68,400000,27200000
2018-1,2018-01-25 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,140,1600000,224000000
2018-1,2018-01-25 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,140,1000000,140000000
2018-1,2018-01-25 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,252,690000,173880000
2018-1,2018-01-25 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,252,1310000,330120000
2018-1,2018-01-25 00:00:00,HEMAS HOLDINGS PLC,HHL.N0000,119,1001472,119175168
